Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
8.14,500.0,14720.0,9862,0,swarm,hr,1,exp12,0,1,1,8,512,30,2.561,12.616,1.73,490.21
10400.0,500.0,11276.0,6358,0,swarm,mm,1,exp12,0,1,1,8,512,30,3445.497,13705.216,2421.424,375.47
14930.0,500.0,9847.0,6589,0,swarm,mm,1,exp12,0,1,1,8,512,30,6349.4,19972.096,3258.561,327.52
13800.0,500.0,10269.0,6620,0,swarm,mm,1,exp12,0,1,1,8,512,30,5605.979,18792.448,3028.216,341.54
8.31,500.0,14768.0,9849,0,swarm,hr,1,exp12,0,1,1,8,512,30,2.472,12.592,1.793,491.65
8.22,500.0,14768.0,9851,0,swarm,hr,1,exp12,0,1,1,8,512,30,2.564,13.528,1.823,491.74
14790.0,500.0,10008.0,6713,0,swarm,mm,1,exp12,0,1,1,8,512,30,5963.383,18432.0,3139.313,332.87
8.65,500.0,14828.0,9842,0,swarm,hr,1,exp12,0,1,1,8,512,30,2.604,15.152,1.862,493.87
8.19,500.0,14828.0,9842,0,swarm,hr,1,exp12,0,1,1,8,512,30,2.577,11.024,1.769,493.65
2170.0,500.0,13776.0,8856,0,swarm,mm,1,exp12,0,1,1,8,512,30,120.78,3215.36,402.866,458.47
7.86,500.0,14825.0,9845,0,swarm,sn,1,exp12,0,1,1,8,512,30,4.743,1007.616,10.183,493.86
7.1,500.0,14770.0,9852,0,swarm,sn,1,exp12,0,1,1,8,512,30,4.104,10.312,1.167,491.9
6.16,500.0,14826.0,9842,0,swarm,sn,1,exp12,0,1,1,8,512,30,3.736,8.352,1.159,493.57
6.47,500.0,14768.0,9848,0,swarm,sn,1,exp12,0,1,1,8,512,30,2.479,10.304,1.585,491.87
7.75,500.0,14827.0,9843,0,swarm,sn,1,exp12,0,1,1,8,512,30,4.511,1019.904,11.182,493.93
6.73,1000.0,29657.0,19934,0,swarm,hr,1,exp12,0,1,1,8,512,30,2.027,11.352,1.413,988.17
8.02,1000.0,29786.0,19966,0,swarm,sn,1,exp12,0,1,1,8,512,30,4.497,16.512,1.275,992.19
7.63,1000.0,29783.0,19966,0,swarm,sn,1,exp12,0,1,1,8,512,30,4.369,1020.928,11.961,992.58
6.25,1000.0,29787.0,19966,0,swarm,sn,1,exp12,0,1,1,8,512,30,3.52,10.688,1.178,992.69
7.08,1000.0,29782.0,19964,0,swarm,sn,1,exp12,0,1,1,8,512,30,3.9,11.872,1.21,992.47
21860.0,1000.0,10037.0,6918,0,swarm,mm,1,exp12,0,1,1,8,512,30,13145.204,25346.048,4196.236,333.87
21770.0,1000.0,10079.0,6897,0,swarm,mm,1,exp12,0,1,1,8,512,30,13008.253,24379.392,4195.181,335.74
21680.0,1000.0,10123.0,6976,0,swarm,mm,1,exp12,0,1,1,8,512,30,12949.173,24903.68,4180.431,337.25
21710.0,1000.0,10294.0,7225,0,swarm,mm,1,exp12,0,1,1,8,512,30,13152.649,24592.384,4050.353,342.36
7.05,1000.0,29793.0,19969,0,swarm,hr,1,exp12,0,1,1,8,512,30,2.087,10.712,1.479,992.82
6.71,1000.0,29931.0,20000,0,swarm,hr,1,exp12,0,1,1,8,512,30,2.073,15.096,1.407,997.46
6.53,1000.0,29563.0,19965,0,swarm,hr,1,exp12,0,1,1,8,512,30,2.043,13.288,1.349,984.46
21940.0,1000.0,10079.0,6899,0,swarm,mm,1,exp12,0,1,1,8,512,30,13107.787,24657.92,4134.889,335.46
5.84,1000.0,29793.0,19967,0,swarm,sn,1,exp12,0,1,1,8,512,30,2.823,9.504,1.455,992.69
6.95,1000.0,29931.0,20000,0,swarm,hr,1,exp12,0,1,1,8,512,30,2.092,11.296,1.46,997.1
24100.0,1500.0,10225.0,7002,0,swarm,mm,1,exp12,0,1,1,8,512,30,15118.036,26836.992,4557.578,340.32
24170.0,1500.0,10182.0,6981,0,swarm,mm,1,exp12,0,1,1,8,512,30,15324.474,25788.416,4555.369,339.37
23970.0,1500.0,10246.0,7040,0,swarm,mm,1,exp12,0,1,1,8,512,30,15032.085,26984.448,4569.602,340.86
24040.0,1500.0,10235.0,7027,0,swarm,mm,1,exp12,0,1,1,8,512,30,15171.549,27574.272,4570.565,340.51
24170.0,1500.0,10226.0,7066,0,swarm,mm,1,exp12,0,1,1,8,512,30,15345.339,26345.472,4566.507,340.45
10810.0,2000.0,44404.0,28374,0,swarm,hr,1,exp12,0,1,1,8,512,30,4397.568,14671.872,2428.333,1479.24
9930.0,2000.0,46611.0,30622,0,swarm,hr,1,exp12,0,1,1,8,512,30,4128.801,12263.424,2293.529,1553.79
6800.0,2000.0,51814.0,33921,0,swarm,hr,1,exp12,0,1,1,8,512,30,2204.824,9158.656,1579.49,1724.83
25380.0,2000.0,10268.0,7122,0,swarm,mm,1,exp12,0,1,1,8,512,30,16373.181,27705.344,4832.859,341.52
25310.0,2000.0,10338.0,7112,0,swarm,mm,1,exp12,0,1,1,8,512,30,16176.38,27475.968,4826.19,344.25
25380.0,2000.0,10279.0,7120,0,swarm,mm,1,exp12,0,1,1,8,512,30,16481.866,27426.816,4785.885,342.33
25440.0,2000.0,10305.0,7121,0,swarm,mm,1,exp12,0,1,1,8,512,30,16437.937,27082.752,4816.459,342.78
25130.0,2000.0,10369.0,7105,0,swarm,mm,1,exp12,0,1,1,8,512,30,16305.998,27607.04,4815.928,344.87
17740.0,2000.0,38484.0,24667,0,swarm,sn,1,exp12,0,1,1,8,512,30,5238.326,22675.456,4246.702,1279.93
755.2,2000.0,58559.0,38914,0,swarm,hr,1,exp12,0,1,1,8,512,30,57.795,2101.248,155.691,1951.67
22100.0,2000.0,22975.0,15052,0,swarm,sn,1,exp12,0,1,1,8,512,30,9763.349,23937.024,4666.777,764.15
22820.0,2000.0,26254.0,17280,0,swarm,sn,1,exp12,0,1,1,8,512,30,9253.957,26296.32,4591.891,873.17
21230.0,2000.0,30093.0,19625,0,swarm,sn,1,exp12,0,1,1,8,512,30,7433.195,26296.32,5107.576,1000.88
266.75,2000.0,58246.0,38603,0,swarm,sn,1,exp12,0,1,1,8,512,30,14.755,1739.776,79.064,1941.27
6.32,2000.0,59466.0,39814,0,swarm,hr,1,exp12,0,1,1,8,512,30,1.952,10.112,1.305,1981.68
25180.0,3000.0,22919.0,15301,0,swarm,sn,1,exp12,0,1,1,8,512,30,13740.436,26279.936,6169.21,762.43
24080.0,3000.0,25346.0,16766,0,swarm,sn,1,exp12,0,1,1,8,512,30,13386.02,25837.568,6167.139,843.03
23870.0,3000.0,28654.0,18719,0,swarm,sn,1,exp12,0,1,1,8,512,30,11999.661,26787.84,6472.367,953.6
23860.0,3000.0,35930.0,23471,0,swarm,sn,1,exp12,0,1,1,8,512,30,10609.343,28344.32,6079.579,1197.75
23050.0,3000.0,40662.0,26517,0,swarm,sn,1,exp12,0,1,1,8,512,30,7151.73,26525.696,6173.768,1354.07
26670.0,3000.0,10381.0,7230,0,swarm,mm,1,exp12,0,1,1,8,512,30,17619.13,28508.16,5101.726,345.27
26670.0,3000.0,10423.0,7199,0,swarm,mm,1,exp12,0,1,1,8,512,30,17604.811,27918.336,5096.161,347.25
26610.0,3000.0,10412.0,7303,0,swarm,mm,1,exp12,0,1,1,8,512,30,17540.637,28196.864,5081.334,346.82
14350.0,3000.0,52628.0,34489,0,swarm,hr,1,exp12,0,1,1,8,512,30,7944.682,16941.056,2771.893,1753.93
26690.0,3000.0,10439.0,7170,0,swarm,mm,1,exp12,0,1,1,8,512,30,17569.677,28180.48,5074.267,347.99
26530.0,3000.0,10466.0,7238,0,swarm,mm,1,exp12,0,1,1,8,512,30,17357.342,28131.328,5111.16,348.1
14270.0,3000.0,52979.0,34493,0,swarm,hr,1,exp12,0,1,1,8,512,30,7927.39,17580.032,2827.992,1762.08
18710.0,3000.0,38657.0,26189,0,swarm,hr,1,exp12,0,1,1,8,512,30,11342.014,20611.072,3597.255,1285.69
17190.0,3000.0,43924.0,29239,0,swarm,hr,1,exp12,0,1,1,8,512,30,9823.817,19595.264,3307.803,1460.88
15980.0,3000.0,47694.0,32164,0,swarm,hr,1,exp12,0,1,1,8,512,30,9294.332,18071.552,3062.635,1588.66
27300.0,4000.0,10598.0,7233,0,swarm,mm,1,exp12,0,1,1,8,512,30,18165.685,28688.384,5231.96,352.59
19070.0,4000.0,47614.0,31599,0,swarm,hr,1,exp12,0,1,1,8,512,30,11669.886,21512.192,3687.739,1583.73
20410.0,4000.0,43133.0,28955,0,swarm,hr,1,exp12,0,1,1,8,512,30,12700.185,23347.2,3891.91,1437.87
20040.0,4000.0,42604.0,29774,0,swarm,hr,1,exp12,0,1,1,8,512,30,12809.029,22151.168,3747.413,1419.01
24850.0,4000.0,39173.0,25643,0,swarm,sn,1,exp12,0,1,1,8,512,30,12224.009,28688.384,6273.532,1305.37
24410.0,4000.0,34213.0,22426,0,swarm,sn,1,exp12,0,1,1,8,512,30,12722.902,28098.56,6375.462,1137.96
25000.0,4000.0,28090.0,18557,0,swarm,sn,1,exp12,0,1,1,8,512,30,12236.029,28098.56,6244.31,934.61
25410.0,4000.0,24660.0,16516,0,swarm,sn,1,exp12,0,1,1,8,512,30,13154.342,29147.136,5960.986,820.18
26100.0,4000.0,22132.0,14783,0,swarm,sn,1,exp12,0,1,1,8,512,30,15316.979,27623.424,5587.079,737.65
17890.0,4000.0,52808.0,35302,0,swarm,hr,1,exp12,0,1,1,8,512,30,10910.138,20692.992,3527.135,1756.46
27330.0,4000.0,10497.0,7261,0,swarm,mm,1,exp12,0,1,1,8,512,30,18096.403,28262.4,5249.304,349.51
18010.0,4000.0,52872.0,34939,0,swarm,hr,1,exp12,0,1,1,8,512,30,10832.462,20676.608,3507.844,1762.51
27280.0,4000.0,10560.0,7293,0,swarm,mm,1,exp12,0,1,1,8,512,30,17988.943,28606.464,5299.278,351.94
27340.0,4000.0,10287.0,7105,0,swarm,mm,1,exp12,0,1,1,8,512,30,18318.378,28196.864,5202.132,342.22
27310.0,4000.0,10486.0,7196,0,swarm,mm,1,exp12,0,1,1,8,512,30,17951.958,28278.784,5267.512,349.07
27750.0,5000.0,10494.0,7284,0,swarm,mm,1,exp12,0,1,1,8,512,30,18388.88,28819.456,5378.67,349.03
27710.0,5000.0,10587.0,7320,0,swarm,mm,1,exp12,0,1,1,8,512,30,18309.399,28459.008,5375.71,352.14
27790.0,5000.0,10513.0,7241,0,swarm,mm,1,exp12,0,1,1,8,512,30,18523.375,28868.608,5355.012,350.1
27770.0,5000.0,10446.0,7262,0,swarm,mm,1,exp12,0,1,1,8,512,30,18504.022,28704.768,5301.669,348.19
27840.0,5000.0,10498.0,7261,0,swarm,mm,1,exp12,0,1,1,8,512,30,18619.73,28852.224,5336.768,349.18
28110.0,6000.0,27651.0,18292,0,swarm,sn,1,exp12,0,1,1,8,512,30,15000.329,29229.056,5823.168,920.45
26820.0,6000.0,33256.0,21764,0,swarm,sn,1,exp12,0,1,1,8,512,30,15350.529,28524.544,5818.104,1107.03
24360.0,6000.0,38327.0,24939,0,swarm,sn,1,exp12,0,1,1,8,512,30,14341.609,26132.48,5498.21,1277.59
26610.0,6000.0,24259.0,16055,0,swarm,sn,1,exp12,0,1,1,8,512,30,15287.115,29114.368,5324.74,807.04
26970.0,6000.0,22214.0,14840,0,swarm,sn,1,exp12,0,1,1,8,512,30,16509.674,29376.512,5280.141,740.43
21540.0,6000.0,53020.0,35444,0,swarm,hr,1,exp12,0,1,1,8,512,30,13856.606,23953.408,4157.571,1766.62
22200.0,6000.0,47486.0,31490,0,swarm,hr,1,exp12,0,1,1,8,512,30,14181.034,23674.88,4268.687,1580.75
