Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,N,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
11.76,500.0,14769.0,9851,0,k8s,hr,1,exp12,3,0,1,1,8,512,30,4.445,20.208,2.286,491.27
12.31,500.0,14719.0,9861,0,k8s,mm,1,exp12,3,0,1,1,8,512,30,5.27,17.664,1.894,489.94
12.29,500.0,14828.0,9842,0,k8s,mm,1,exp12,4,0,1,1,8,512,30,5.287,20.752,1.891,493.36
12.17,500.0,14828.0,9843,0,k8s,mm,1,exp12,5,0,1,1,8,512,30,5.325,19.76,1.873,493.36
11.83,500.0,14718.0,9863,0,k8s,hr,1,exp12,5,0,1,1,8,512,30,4.373,20.08,2.249,489.52
11.85,500.0,14829.0,9845,0,k8s,hr,1,exp12,4,0,1,1,8,512,30,4.417,20.224,2.27,493.65
11.87,500.0,14767.0,9851,0,k8s,mm,1,exp12,2,0,1,1,8,512,30,5.187,18.144,1.878,491.26
11.68,500.0,14768.0,9851,0,k8s,hr,1,exp12,2,0,1,1,8,512,30,4.489,80.96,2.81,491.23
26790.0,500.0,1431.0,269,0,k8s,hr,1,exp12,1,0,1,1,8,512,30,12630.751,27508.736,9169.873,47.59
11110.0,500.0,11997.0,8153,0,k8s,mm,1,exp12,1,0,1,1,8,512,30,3593.779,17678.336,2305.18,399.04
19.98,500.0,14768.0,9854,0,k8s,sn,1,exp12,5,0,1,1,8,512,30,6.217,109.12,3.686,491.52
8.32,500.0,14768.0,9848,0,k8s,sn,1,exp12,3,0,1,1,8,512,30,5.375,18.08,1.169,491.74
8.13,500.0,14718.0,9861,0,k8s,sn,1,exp12,2,0,1,1,8,512,30,4.982,27.008,1.359,489.57
9.74,500.0,14767.0,9851,0,k8s,sn,1,exp12,1,0,1,1,8,512,30,4.019,44.096,2.006,491.18
8.46,500.0,14768.0,9853,0,k8s,sn,1,exp12,4,0,1,1,8,512,30,5.602,46.24,1.19,491.89
7.79,1000.0,29932.0,19998,0,k8s,hr,1,exp12,5,0,1,1,8,512,30,3.275,12.592,1.43,997.4
3930.0,1000.0,28150.0,18364,0,k8s,sn,1,exp12,5,0,1,1,8,512,30,724.217,7553.024,872.913,936.39
8.22,1000.0,29932.0,19998,0,k8s,sn,1,exp12,4,0,1,1,8,512,30,5.165,45.824,1.152,997.23
7.32,1000.0,29786.0,19965,0,k8s,sn,1,exp12,2,0,1,1,8,512,30,4.567,12.96,1.172,992.07
10.18,1000.0,29790.0,19964,0,k8s,sn,1,exp12,3,0,1,1,8,512,30,5.094,57.952,2.11,992.65
20350.0,1000.0,11787.0,7957,0,k8s,mm,1,exp12,2,0,1,1,8,512,30,11802.519,23232.512,3981.898,392.91
20320.0,1000.0,11834.0,8022,0,k8s,mm,1,exp12,3,0,1,1,8,512,30,11778.417,24363.008,3937.198,393.61
20370.0,1000.0,11856.0,8029,0,k8s,mm,1,exp12,4,0,1,1,8,512,30,11719.138,23281.664,3903.082,394.64
20280.0,1000.0,12018.0,8176,0,k8s,mm,1,exp12,5,0,1,1,8,512,30,11689.963,24526.848,3943.761,400.32
7.87,1000.0,29565.0,19967,0,k8s,hr,1,exp12,4,0,1,1,8,512,30,3.274,49.984,1.494,984.14
7.98,1000.0,29934.0,19999,0,k8s,hr,1,exp12,3,0,1,1,8,512,30,3.303,87.04,1.604,997.7
7.9,1000.0,29796.0,19969,0,k8s,hr,1,exp12,2,0,1,1,8,512,30,3.28,81.28,1.83,992.61
20460.0,1000.0,11712.0,7876,0,k8s,mm,1,exp12,1,0,1,1,8,512,30,11850.327,23396.352,3979.207,389.99
6.72,1000.0,29791.0,19966,0,k8s,sn,1,exp12,1,0,1,1,8,512,30,3.728,11.848,1.466,992.01
7.53,1000.0,29932.0,19998,0,k8s,hr,1,exp12,1,0,1,1,8,512,30,2.894,297.984,7.491,997.26
22940.0,1500.0,11969.0,8189,0,k8s,mm,1,exp12,3,0,1,1,8,512,30,14367.201,25640.96,4407.559,398.47
23300.0,1500.0,11705.0,7993,0,k8s,mm,1,exp12,5,0,1,1,8,512,30,14680.328,25870.336,4430.606,390.12
23090.0,1500.0,11993.0,7995,0,k8s,mm,1,exp12,1,0,1,1,8,512,30,14313.446,25280.512,4411.628,399.52
23250.0,1500.0,11741.0,7953,0,k8s,mm,1,exp12,2,0,1,1,8,512,30,14532.624,25182.208,4405.93,390.83
23270.0,1500.0,11844.0,8015,0,k8s,mm,1,exp12,4,0,1,1,8,512,30,14467.682,25460.736,4445.537,394.56
