Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,N,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
3.04,500.0,14826.0,9842,1,nomad,mm,1,exp14,3,0,0,1,8,512,30,3.688,2736.128,53.866,493.19
2.2,500.0,14767.0,9851,1,nomad,sn,1,exp14,1,0,0,1,8,512,30,1.378,3.092,0.338,491.19
2.21,500.0,14772.0,9849,1,nomad,sn,1,exp14,2,0,0,1,8,512,30,1.371,3.588,0.341,492.12
2.18,500.0,14664.0,9866,1,nomad,sn,1,exp14,3,0,0,1,8,512,30,1.363,5.58,0.332,487.74
2.23,500.0,14771.0,9849,1,nomad,sn,1,exp14,4,0,0,1,8,512,30,1.369,3.154,0.345,491.92
2.22,500.0,14770.0,9849,1,nomad,sn,1,exp14,5,0,0,1,8,512,30,1.356,3.29,0.352,492.03
3.07,500.0,14829.0,9842,1,nomad,mm,1,exp14,5,0,0,1,8,512,30,3.248,1869.824,43.962,493.7
3.09,500.0,14715.0,9860,1,nomad,mm,1,exp14,4,0,0,1,8,512,30,5.769,3258.368,83.488,490.08
3.13,500.0,14768.0,9847,1,nomad,mm,1,exp14,2,0,0,1,8,512,30,5.011,2985.984,68.574,491.97
3.27,500.0,14716.0,9861,1,nomad,mm,1,exp14,1,0,0,1,8,512,30,6.683,3854.336,96.653,489.49
1.85,1000.0,29795.0,19968,1,nomad,sn,1,exp14,5,0,0,1,8,512,30,1.043,2.582,0.293,992.84
1.86,1000.0,29933.0,19999,1,nomad,sn,1,exp14,4,0,0,1,8,512,30,1.05,4.012,0.288,997.45
1.83,1000.0,29926.0,19999,1,nomad,sn,1,exp14,3,0,0,1,8,512,30,1.051,2.486,0.284,996.82
1.83,1000.0,29932.0,20001,1,nomad,sn,1,exp14,2,0,0,1,8,512,30,1.044,4.132,0.286,997.44
1.8,1000.0,29795.0,19966,1,nomad,sn,1,exp14,1,0,0,1,8,512,30,1.034,4.94,0.282,992.86
7910.0,1000.0,23879.0,14057,1,nomad,mm,1,exp14,1,0,0,1,8,512,30,2016.278,11386.88,2175.526,795.52
13820.0,1000.0,19798.0,13020,1,nomad,mm,1,exp14,4,0,0,1,8,512,30,6141.178,17432.576,2986.628,659.85
14340.0,1000.0,19442.0,12575,1,nomad,mm,1,exp14,3,0,0,1,8,512,30,6282.237,18382.848,3138.383,647.31
13470.0,1000.0,20024.0,13081,1,nomad,mm,1,exp14,2,0,0,1,8,512,30,5903.915,16629.76,2963.161,666.46
