Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,N,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
10980.0,500.0,13920.0,9607,1,swarm,hr,1,exp14,3,0,0,1,8,512,30,1573.741,21643.264,2601.847,463.3
3.59,500.0,14768.0,9848,1,swarm,mm,1,exp14,3,0,0,1,8,512,30,1.802,5.852,0.477,491.21
3.59,500.0,14768.0,9849,1,swarm,mm,1,exp14,4,0,0,1,8,512,30,1.819,6.5,0.487,491.76
3.62,500.0,14826.0,9841,1,swarm,mm,1,exp14,5,0,0,1,8,512,30,1.806,4.56,0.481,493.46
9980.0,500.0,13847.0,9526,1,swarm,hr,1,exp14,5,0,0,1,8,512,30,1557.53,15450.112,2384.706,460.95
10140.0,500.0,13896.0,9545,1,swarm,hr,1,exp14,4,0,0,1,8,512,30,1573.39,24379.392,2412.874,462.6
3.64,500.0,14769.0,9849,1,swarm,mm,1,exp14,2,0,0,1,8,512,30,1.825,11.192,0.523,491.9
10670.0,500.0,13887.0,9628,1,swarm,hr,1,exp14,2,0,0,1,8,512,30,1670.437,21921.792,2544.985,462.65
10620.0,500.0,13788.0,9539,1,swarm,hr,1,exp14,1,0,0,1,8,512,30,1680.03,17924.096,2488.192,458.65
3.95,500.0,14824.0,9841,1,swarm,mm,1,exp14,1,0,0,1,8,512,30,7.317,2854.912,90.242,493.13
1780.0,500.0,14710.0,9861,1,swarm,sn,1,exp14,5,0,0,1,8,512,30,125.647,4173.824,369.848,489.92
1170.0,500.0,14782.0,9843,1,swarm,sn,1,exp14,3,0,0,1,8,512,30,94.768,2971.648,254.686,491.66
93.57,500.0,14765.0,9858,1,swarm,sn,1,exp14,2,0,0,1,8,512,30,11.34,252.8,20.472,491.1
6.62,500.0,14720.0,9863,1,swarm,sn,1,exp14,1,0,0,1,8,512,30,2.125,10.72,1.195,489.79
1220.0,500.0,14673.0,9861,1,swarm,sn,1,exp14,4,0,0,1,8,512,30,88.735,2617.344,257.43,488.53
5960.0,1000.0,28828.0,19860,1,swarm,hr,1,exp14,5,0,0,1,8,512,30,922.31,10182.656,1392.956,960.45
1880.0,1000.0,29827.0,20004,1,swarm,sn,1,exp14,5,0,0,1,8,512,30,98.911,4923.392,365.959,993.7
1190.0,1000.0,29880.0,19994,1,swarm,sn,1,exp14,4,0,0,1,8,512,30,61.149,3338.24,225.491,995.38
