Latency,Requests,Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
10.01,500.0,14815.0,1,k8s,sn,1,exp13,0,1,0,4,512,30,4.237,17.744,2.022,493.37
12.93,500.0,14815.0,1,k8s,hr,1,exp13,0,1,0,4,512,30,4.478,26.816,2.576,493.33
11.75,500.0,14813.0,1,k8s,mm,1,exp13,0,1,0,4,512,30,4.773,20.816,1.912,493.49
8.65,1000.0,29633.0,1,k8s,hr,1,exp13,0,1,0,4,512,30,3.274,21.504,1.724,987.66
7.48,1000.0,29902.0,1,k8s,mm,1,exp13,0,1,0,4,512,30,3.942,13.16,0.99,996.59
7.36,1500.0,44703.0,1,k8s,hr,1,exp13,0,1,0,4,512,30,2.916,20.064,1.372,1489.87
6.93,1500.0,43994.0,1,k8s,sn,1,exp13,0,1,0,4,512,30,3.667,14.168,1.539,1466.0
7.12,2000.0,58711.0,1,k8s,hr,1,exp13,0,1,0,4,512,30,2.817,23.168,1.323,1956.78
7.41,2000.0,59180.0,1,k8s,sn,1,exp13,0,1,0,4,512,30,3.982,12.912,1.523,1972.44
19870.0,2000.0,23378.0,1,k8s,mm,1,exp13,0,1,0,4,512,30,11995.215,22364.16,3769.591,778.23
7.04,2500.0,74375.0,1,k8s,hr,1,exp13,0,1,0,4,512,30,2.783,23.84,1.278,2479.08
8.68,3000.0,88422.0,1,k8s,sn,1,exp13,0,1,0,4,512,30,4.393,20.144,1.664,2947.3
22330.0,3000.0,23705.0,1,k8s,mm,1,exp13,0,1,0,4,512,30,14099.94,24494.08,4327.469,788.03
6.92,3000.0,89123.0,1,k8s,hr,1,exp13,0,1,0,4,512,30,2.77,26.352,1.268,2970.25
6.98,4000.0,118950.0,1,k8s,hr,1,exp13,0,1,0,4,512,30,2.82,21.168,1.269,3964.85
6890.0,4000.0,97026.0,1,k8s,sn,1,exp13,0,1,0,4,512,30,2088.532,9871.36,1952.534,3234.21
24180.0,4000.0,23574.0,1,k8s,mm,1,exp13,0,1,0,4,512,30,15686.571,25690.112,4659.056,784.94
15610.0,5000.0,79161.0,1,k8s,sn,1,exp13,0,1,0,4,512,30,9124.577,19120.128,3012.46,2634.59
25310.0,5000.0,23728.0,1,k8s,mm,1,exp13,0,1,0,4,512,30,16742.975,26689.536,4810.382,790.99
16840.0,6000.0,85350.0,1,k8s,hr,1,exp13,0,1,0,4,512,30,10603.598,19054.592,3090.585,2844.03
18860.0,6000.0,70377.0,1,k8s,sn,1,exp13,0,1,0,4,512,30,11646.433,21168.128,3680.613,2344.93
23590.0,10000.0,64431.0,1,k8s,sn,1,exp13,0,1,0,4,512,30,15249.199,25575.424,4578.865,2144.89
21100.0,10000.0,91319.0,1,k8s,hr,1,exp13,0,1,0,4,512,30,13794.34,22642.688,4013.192,3041.47
