Latency,Requests,Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
4.8,2500.0,74941.0,0,swarm,hr,1,exp5,0,1,1,1,512,30,1.789,9.44,0.961,2497.97
8790.0,2500.0,61911.0,0,swarm,sn,1,exp5,0,1,1,1,512,30,574.823,11591.68,1360.495,2063.58
23.02,2500.0,74935.0,0,swarm,mm,1,exp5,0,1,1,1,512,30,4.449,1464.32,22.945,2497.66
5.02,3000.0,88434.0,0,swarm,hr,1,exp5,0,1,1,1,512,30,1.842,9.368,1.005,2947.61
21350.0,3000.0,41558.0,0,swarm,sn,1,exp5,0,1,1,1,512,30,6283.15,24952.832,5660.206,1382.08
189.57,3000.0,89821.0,0,swarm,mm,1,exp5,0,1,1,1,512,30,9.12,392.448,29.216,2994.16
24940.0,3500.0,39197.0,0,swarm,sn,1,exp5,0,1,1,1,512,30,11347.149,27754.496,6407.69,1304.86
333.82,3500.0,104201.0,0,swarm,mm,1,exp5,0,1,1,1,512,30,14.358,610.816,51.898,3473.38
5.1,3500.0,104212.0,0,swarm,hr,1,exp5,0,1,1,1,512,30,1.881,9.648,1.028,3473.82
723.46,4000.0,118012.0,0,swarm,mm,1,exp5,0,1,1,1,512,30,52.73,1399.808,145.507,3933.98
5.24,4000.0,119883.0,0,swarm,hr,1,exp5,0,1,1,1,512,30,1.947,10.816,1.065,3996.07
22690.0,4000.0,37359.0,0,swarm,sn,1,exp5,0,1,1,1,512,30,11848.728,25575.424,6175.074,1244.35
24180.0,5000.0,36689.0,0,swarm,sn,1,exp5,0,1,1,1,512,30,13106.281,27770.88,5559.255,1221.31
4330.0,5000.0,136602.0,0,swarm,mm,1,exp5,0,1,1,1,512,30,1622.374,6225.92,957.324,4553.09
5.61,5000.0,148632.0,0,swarm,hr,1,exp5,0,1,1,1,512,30,2.085,10.856,1.139,4954.54
8670.0,6000.0,136048.0,0,swarm,mm,1,exp5,0,1,1,1,512,30,4840.401,10952.704,1644.772,4535.07
6.07,6000.0,178566.0,0,swarm,hr,1,exp5,0,1,1,1,512,30,2.249,12.344,1.244,5952.27
25070.0,6000.0,35948.0,0,swarm,sn,1,exp5,0,1,1,1,512,30,14823.555,26853.376,5662.672,1197.56
