Latency,Requests,Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
5.68,1500.0,44705.0,0,swarm,sn,1,exp7,0,1,1,1,512,30,2.524,9.152,1.456,1489.88
6.1,2000.0,59189.0,0,swarm,sn,1,exp7,0,1,1,1,512,30,2.863,16.056,1.374,1972.82
2500.0,2500.0,70077.0,0,swarm,sn,1,exp7,0,1,1,1,512,30,123.486,3274.752,451.104,2333.56
7.86,3000.0,89115.0,0,swarm,mm,1,exp7,0,1,1,1,512,30,4.13,43.712,1.221,2970.6
22760.0,3000.0,46520.0,0,swarm,sn,1,exp7,0,1,1,1,512,30,7506.7,25886.72,6496.943,1550.38
25380.0,4000.0,43126.0,0,swarm,sn,1,exp7,0,1,1,1,512,30,10519.659,27738.112,5570.718,1436.93
16.05,4000.0,118922.0,0,swarm,mm,1,exp7,0,1,1,1,512,30,6.348,36.224,2.609,3964.03
6.59,4000.0,119877.0,0,swarm,hr,1,exp7,0,1,1,1,512,30,2.042,17.936,1.356,3995.86
4650.0,5000.0,134220.0,0,swarm,mm,1,exp7,0,1,1,1,512,30,1720.253,6443.008,1074.181,4474.31
9310.0,6000.0,135158.0,0,swarm,mm,1,exp7,0,1,1,1,512,30,4914.079,11468.8,1838.683,4505.58
9.74,6000.0,179993.0,0,swarm,hr,1,exp7,0,1,1,1,512,30,2.534,112.32,2.67,5999.72
10.5,8000.0,239792.0,0,swarm,hr,1,exp7,0,1,1,1,512,30,3.011,95.68,2.882,7993.12
23.42,10000.0,295235.0,0,swarm,hr,1,exp7,0,1,1,1,512,30,5.58,121.6,4.939,9841.13
28.96,12000.0,357449.0,0,swarm,hr,1,exp7,0,1,1,1,512,30,7.991,122.944,5.957,11915.26
63.81,14000.0,416381.0,0,swarm,hr,1,exp7,0,1,1,1,512,30,16.597,197.504,12.747,13879.51
142.59,16000.0,471625.0,0,swarm,hr,1,exp7,0,1,1,1,512,30,35.638,336.384,28.687,15720.9
1090.0,18000.0,528902.0,0,swarm,hr,1,exp7,0,1,1,1,512,30,213.881,1869.824,226.363,17628.62
8090.0,20000.0,457995.0,0,swarm,hr,1,exp7,0,1,1,1,512,30,5601.422,9609.216,1134.957,15265.33
6110.0,22000.0,548861.0,0,swarm,hr,1,exp7,0,1,1,1,512,30,3622.696,8044.544,1101.584,18293.57
6950.0,24000.0,566528.0,0,swarm,hr,1,exp7,0,1,1,1,512,30,4096.75,8380.416,1350.993,18884.19
9010.0,26000.0,563469.0,0,swarm,hr,1,exp7,0,1,1,1,512,30,5498.26,10444.8,1685.247,18782.56
