Latency,Requests,Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
5.76,1500.0,44703.0,0,swarm,sn,1,exp9,0,1,1,1,512,30,2.526,9.528,1.509,1489.73
6.15,2000.0,59191.0,0,swarm,sn,1,exp9,0,1,1,1,512,30,2.63,11.464,1.574,1972.9
45.18,2500.0,74373.0,0,swarm,mm,1,exp9,0,1,1,1,512,30,3.766,128.32,7.584,2479.0
2840.0,2500.0,69506.0,0,swarm,sn,1,exp9,0,1,1,1,512,30,113.064,3917.824,473.237,2313.45
18.46,3000.0,89121.0,0,swarm,mm,1,exp9,0,1,1,1,512,30,3.958,69.376,3.003,2970.65
19020.0,3500.0,59388.0,0,swarm,sn,1,exp9,0,1,1,1,512,30,5606.458,22183.936,4663.265,1979.63
28.25,4000.0,119860.0,0,swarm,mm,1,exp9,0,1,1,1,512,30,8.455,72.256,5.274,3995.4
19890.0,4000.0,57253.0,0,swarm,sn,1,exp9,0,1,1,1,512,30,7072.409,23691.264,4957.188,1907.04
71.55,5000.0,149651.0,0,swarm,mm,1,exp9,0,1,1,1,512,30,8.754,930.304,21.566,4988.0
6720.0,6000.0,149568.0,0,swarm,mm,1,exp9,0,1,1,1,512,30,3078.134,9248.768,1436.661,4985.83
47.29,12000.0,354643.0,0,swarm,hr,1,exp9,0,1,1,1,512,30,8.398,158.72,8.649,11821.57
83.58,14000.0,416301.0,0,swarm,hr,1,exp9,0,1,1,1,512,30,22.267,189.44,16.343,13876.97
156.29,16000.0,471824.0,0,swarm,hr,1,exp9,0,1,1,1,512,30,35.573,407.552,32.157,15727.46
8450.0,18000.0,401106.0,0,swarm,hr,1,exp9,0,1,1,1,512,30,5263.397,10092.544,1490.38,13369.47
2720.0,20000.0,573551.0,0,swarm,hr,1,exp9,0,1,1,1,512,30,1003.052,4395.008,643.201,19118.72
