Latency,Requests,Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
6.0,500.0,14815.0,1,swarm,hr,1,exp15,1,1,1,1,512,30,2.38,8.0,1.3,493.54
4.01,500.0,14815.0,1,swarm,mm,1,exp15,1,1,1,1,512,30,2.926,15.376,0.552,493.66
5.96,500.0,14815.0,1,swarm,sn,1,exp15,1,1,1,1,512,30,2.328,8.232,1.528,493.41
5.27,1000.0,29902.0,1,swarm,hr,1,exp15,1,1,1,1,512,30,2.01,8.84,1.113,996.65
21450.0,1000.0,10673.0,1,swarm,mm,1,exp15,1,1,1,1,512,30,12431.434,25083.904,4138.693,355.21
5.11,1500.0,44335.0,1,swarm,hr,1,exp15,1,1,1,1,512,30,1.9,8.752,1.079,1477.58
5.48,1500.0,43994.0,1,swarm,sn,1,exp15,1,1,1,1,512,30,2.602,8.768,1.333,1466.19
5.09,2000.0,59190.0,1,swarm,hr,1,exp15,1,1,1,1,512,30,1.877,9.096,1.076,1972.92
25330.0,2000.0,10459.0,1,swarm,mm,1,exp15,1,1,1,1,512,30,16467.299,26968.064,4796.861,348.0
7570.0,2000.0,52629.0,1,swarm,sn,1,exp15,1,1,1,1,512,30,476.85,10035.2,1277.137,1753.47
15200.0,2500.0,40698.0,1,swarm,hr,1,exp15,1,1,1,1,512,30,8825.173,19283.968,2926.706,1353.38
17780.0,3000.0,41300.0,1,swarm,hr,1,exp15,1,1,1,1,512,30,10689.802,20463.616,3439.485,1372.8
24350.0,3000.0,45752.0,1,swarm,sn,1,exp15,1,1,1,1,512,30,6561.74,28540.928,5845.812,1524.81
