Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
3.8,500.0,14815.0,9898,1,nomad,hr,1,exp13,0,1,0,4,512,30,1.535,10.36,0.769,493.55
3.12,500.0,14707.0,9907,1,nomad,mm,1,exp13,0,1,0,4,512,30,2.143,22.544,0.406,490.12
3.5,500.0,14815.0,9899,1,nomad,sn,1,exp13,0,1,0,4,512,30,1.275,18.672,0.9,493.44
3.82,1000.0,29902.0,19930,1,nomad,mm,1,exp13,0,1,0,4,512,30,2.294,16.368,0.421,996.69
2.63,1500.0,44334.0,29617,1,nomad,sn,1,exp13,0,1,0,4,512,30,0.881,17.232,0.664,1477.44
2.33,2000.0,59650.0,39735,1,nomad,sn,1,exp13,0,1,0,4,512,30,0.769,16.416,0.607,1988.27
92.16,2000.0,59183.0,39682,1,nomad,mm,1,exp13,0,1,0,4,512,30,4.825,340.992,17.153,1972.8
2.15,3000.0,89121.0,59705,1,nomad,sn,1,exp13,0,1,0,4,512,30,0.673,16.232,0.603,2970.49
22.11,3000.0,89125.0,59704,1,nomad,hr,1,exp13,0,1,0,4,512,30,3.668,59.968,4.411,2970.83
997.89,3000.0,89800.0,59646,1,nomad,mm,1,exp13,0,1,0,4,512,30,111.565,1731.584,226.533,2993.39
8010.0,4000.0,95602.0,64382,1,nomad,mm,1,exp13,0,1,0,4,512,30,3564.835,11403.264,1657.836,3186.6
2.1,4000.0,118954.0,79826,1,nomad,sn,1,exp13,0,1,0,4,512,30,0.638,16.104,0.573,3964.77
152.96,4000.0,118884.0,79821,1,nomad,hr,1,exp13,0,1,0,4,512,30,26.738,478.72,32.852,3961.92
13120.0,5000.0,89386.0,57454,1,nomad,mm,1,exp13,0,1,0,4,512,30,7286.983,15032.32,2727.057,2979.69
2.09,5000.0,148622.0,99713,1,nomad,sn,1,exp13,0,1,0,4,512,30,0.634,24.272,0.581,4954.04
17370.0,6000.0,80867.0,53313,1,nomad,mm,1,exp13,0,1,0,4,512,30,10966.974,19595.264,3359.256,2695.72
3890.0,6000.0,171734.0,117850,1,nomad,hr,1,exp13,0,1,0,4,512,30,1110.344,6320.128,914.222,5723.99
19640.0,7000.0,77081.0,51254,1,nomad,mm,1,exp13,0,1,0,4,512,30,12601.922,21446.656,3767.195,2569.47
2.35,10000.0,297604.0,199282,1,nomad,sn,1,exp13,0,1,0,4,512,30,0.695,78.72,1.282,9920.09
8310.0,10000.0,219904.0,119091,1,nomad,hr,1,exp13,0,1,0,4,512,30,2114.183,10027.008,2613.247,7327.95
18940.0,12000.0,136290.0,90639,1,nomad,hr,1,exp13,0,1,0,4,512,30,12149.955,21168.128,3624.912,4541.51
20610.0,14000.0,136675.0,91185,1,nomad,hr,1,exp13,0,1,0,4,512,30,13423.354,22216.704,3923.061,4553.31
2.86,15000.0,446220.0,298672,1,nomad,sn,1,exp13,0,1,0,4,512,30,0.745,64.896,1.134,14874.12
21590.0,16000.0,134963.0,89130,1,nomad,hr,1,exp13,0,1,0,4,512,30,14117.713,22872.064,4142.485,4498.83
22330.0,18000.0,137446.0,90879,1,nomad,hr,1,exp13,0,1,0,4,512,30,14638.211,23707.648,4343.528,4579.13
23130.0,20000.0,135016.0,90097,1,nomad,hr,1,exp13,0,1,0,4,512,30,15278.898,24707.072,4474.605,4500.31
4.58,20000.0,594411.0,397539,1,nomad,sn,1,exp13,0,1,0,4,512,30,0.847,39.424,1.026,19814.17
