Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
3.98,500.0,14815.0,9900,1,swarm,mm,1,exp13,0,1,0,4,512,30,3.019,21.872,0.55,493.44
6.9,500.0,14815.0,9899,1,swarm,sn,1,exp13,0,1,0,4,512,30,2.614,29.248,1.725,493.5
8.14,500.0,14925.0,9879,1,swarm,hr,1,exp13,0,1,0,4,512,30,2.568,15.352,1.715,496.86
6.55,1000.0,29633.0,19874,1,swarm,hr,1,exp13,0,1,0,4,512,30,2.106,14.024,1.343,987.48
4.4,1000.0,29634.0,19875,1,swarm,mm,1,exp13,0,1,0,4,512,30,2.752,34.88,0.871,987.67
6.31,1500.0,44704.0,29664,1,swarm,hr,1,exp13,0,1,0,4,512,30,1.964,15.552,1.284,1490.0
6.1,1500.0,44333.0,29618,1,swarm,sn,1,exp13,0,1,0,4,512,30,2.795,14.576,1.577,1477.41
6.2,2000.0,59184.0,39686,1,swarm,hr,1,exp13,0,1,0,4,512,30,1.946,18.704,1.281,1972.74
21770.0,2000.0,18174.0,12136,1,swarm,mm,1,exp13,0,1,0,4,512,30,13613.145,24231.936,4131.05,605.52
6.51,2000.0,59187.0,39688,1,swarm,sn,1,exp13,0,1,0,4,512,30,3.029,18.96,1.55,1972.81
6.36,2500.0,74375.0,49904,1,swarm,hr,1,exp13,0,1,0,4,512,30,1.972,13.52,1.292,2479.08
6.39,3000.0,89826.0,59659,1,swarm,hr,1,exp13,0,1,0,4,512,30,2.01,16.992,1.309,2994.16
24330.0,3000.0,17924.0,11839,1,swarm,mm,1,exp13,0,1,0,4,512,30,15816.054,26378.24,4669.361,597.38
7.8,3000.0,89819.0,59653,1,swarm,sn,1,exp13,0,1,0,4,512,30,3.401,15.28,1.682,2993.91
6.86,4000.0,118951.0,79825,1,swarm,hr,1,exp13,0,1,0,4,512,30,2.124,17.104,1.399,3964.93
25800.0,4000.0,17382.0,11550,1,swarm,mm,1,exp13,0,1,0,4,512,30,16979.318,27197.44,4954.058,578.55
17710.0,4000.0,78360.0,45722,1,swarm,sn,1,exp13,0,1,0,4,512,30,4610.845,21692.416,4569.793,2611.9
22410.0,5000.0,68858.0,45589,1,swarm,sn,1,exp13,0,1,0,4,512,30,9615.002,26361.856,4970.631,2295.3
14770.0,6000.0,97527.0,66674,1,swarm,hr,1,exp13,0,1,0,4,512,30,9111.414,17186.816,2740.23,3248.15
20760.0,10000.0,94595.0,62478,1,swarm,hr,1,exp13,0,1,0,4,512,30,13382.422,23248.896,4035.201,3153.23
