Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
10.06,500.0,14814.0,9899,1,k8s,sn,1,exp15,1,1,1,4,512,30,3.983,52.864,2.127,493.26
11.61,500.0,14706.0,9908,1,k8s,hr,1,exp15,1,1,1,4,512,30,4.298,22.256,2.219,490.0
11.85,500.0,14813.0,9898,1,k8s,mm,1,exp15,1,1,1,4,512,30,4.902,19.696,1.883,493.64
7.66,1000.0,29634.0,19875,1,k8s,hr,1,exp15,1,1,1,4,512,30,3.181,11.592,1.41,987.61
19600.0,1000.0,12128.0,8079,1,k8s,mm,1,exp15,1,1,1,4,512,30,11164.807,22691.84,3871.293,404.04
6.97,1500.0,44702.0,29664,1,k8s,hr,1,exp15,1,1,1,4,512,30,2.938,11.92,1.256,1490.03
7.2,1500.0,44332.0,29617,1,k8s,sn,1,exp15,1,1,1,4,512,30,3.718,99.904,2.188,1477.57
6.84,2000.0,59651.0,39740,1,k8s,hr,1,exp15,1,1,1,4,512,30,2.843,13.056,1.208,1988.11
7.77,2000.0,59183.0,39687,1,k8s,sn,1,exp15,1,1,1,4,512,30,4.056,61.856,1.715,1972.66
24530.0,2000.0,12129.0,8103,1,k8s,mm,1,exp15,1,1,1,4,512,30,15858.969,27066.368,4644.574,404.29
6.87,2500.0,74375.0,49910,1,k8s,hr,1,exp15,1,1,1,4,512,30,2.835,13.424,1.217,2479.21
17140.0,3000.0,46097.0,30694,1,k8s,sn,1,exp15,1,1,1,4,512,30,9500.488,20332.544,3396.318,1535.36
20250.0,3000.0,10250.0,6252,1,k8s,mm,1,exp15,1,1,1,4,512,30,14834.915,23707.648,3395.497,340.22
13710.0,3000.0,54760.0,36966,1,k8s,hr,1,exp15,1,1,1,4,512,30,8022.314,16506.88,2481.297,1820.81
16660.0,4000.0,56921.0,37538,1,k8s,hr,1,exp15,1,1,1,4,512,30,9980.403,18399.232,3259.862,1896.04
19740.0,4000.0,44482.0,29181,1,k8s,sn,1,exp15,1,1,1,4,512,30,12100.88,22380.544,3814.145,1480.35
26820.0,4000.0,12240.0,8281,1,k8s,mm,1,exp15,1,1,1,4,512,30,17660.213,28016.64,5241.884,406.94
21940.0,5000.0,43707.0,28975,1,k8s,sn,1,exp15,1,1,1,4,512,30,14003.177,24035.328,4186.646,1455.69
27280.0,5000.0,12227.0,8219,1,k8s,mm,1,exp15,1,1,1,4,512,30,18194.912,28164.096,5266.275,407.57
21500.0,6000.0,53595.0,35955,1,k8s,hr,1,exp15,1,1,1,4,512,30,13696.355,24068.096,4153.863,1782.97
22950.0,6000.0,43478.0,28626,1,k8s,sn,1,exp15,1,1,1,4,512,30,14803.159,24739.84,4416.771,1448.36
25330.0,10000.0,42708.0,28357,1,k8s,sn,1,exp15,1,1,1,4,512,30,16663.363,26640.384,4935.339,1423.19
24230.0,10000.0,57732.0,38046,1,k8s,hr,1,exp15,1,1,1,4,512,30,16229.373,25575.424,4674.333,1924.44
