Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
6.43,1500.0,43534.0,29010,0,swarm,hr,1,exp6,0,1,1,16,1024,30,2.039,12.024,1.316,1450.22
6.73,1500.0,43591.0,29008,0,swarm,sn,1,exp6,0,1,1,16,1024,30,3.31,12.744,1.511,1451.0
4.69,1500.0,43528.0,29013,0,swarm,mm,1,exp6,0,1,1,16,1024,30,3.157,14.456,0.478,1450.0
4.47,1500.0,43457.0,29322,0,swarm,mm,1,exp6,0,1,1,8,1024,30,3.129,40.128,0.645,1447.07
6.47,1500.0,44445.0,29656,0,swarm,hr,1,exp6,0,1,1,8,512,30,2.062,11.808,1.347,1480.64
6.27,1500.0,44438.0,29651,0,swarm,sn,1,exp6,0,1,1,8,512,30,2.639,12.968,1.649,1480.71
4.62,1500.0,44194.0,29500,0,swarm,mm,1,exp6,0,1,1,16,512,30,3.108,7.624,0.439,1472.52
6.5,1500.0,43603.0,29293,0,swarm,hr,1,exp6,0,1,1,8,1024,30,2.059,13.904,1.348,1452.47
6.52,1500.0,43763.0,29273,0,swarm,sn,1,exp6,0,1,1,8,1024,30,3.191,10.424,1.529,1458.35
4.53,1500.0,44443.0,29653,0,swarm,mm,1,exp6,0,1,1,8,512,30,3.075,32.992,0.494,1481.0
6.42,1500.0,44304.0,29531,0,swarm,hr,1,exp6,0,1,1,16,512,30,2.039,11.808,1.318,1475.2
6.59,1500.0,44405.0,29542,0,swarm,sn,1,exp6,0,1,1,16,512,30,3.081,12.392,1.576,1479.27
7.6,2000.0,59464.0,39815,0,swarm,sn,1,exp6,0,1,1,8,512,30,3.364,36.096,1.66,1981.77
18020.0,2000.0,35319.0,22610,0,swarm,sn,1,exp6,0,1,1,16,1024,30,6614.296,22462.464,4403.868,1174.91
6.3,2000.0,58394.0,39054,0,swarm,hr,1,exp6,0,1,1,16,1024,30,1.996,18.848,1.285,1945.03
5.98,2000.0,58271.0,39055,0,swarm,mm,1,exp6,0,1,1,16,1024,30,3.667,44.256,0.859,1941.84
1290.0,2000.0,56216.0,36902,0,swarm,sn,1,exp6,0,1,1,8,1024,30,41.684,3522.56,249.97,1869.84
6.48,2000.0,59459.0,39812,0,swarm,mm,1,exp6,0,1,1,8,512,30,3.541,21.824,0.781,1981.67
20300.0,2000.0,38166.0,24672,0,swarm,sn,1,exp6,0,1,1,16,512,30,4058.557,25427.968,4965.361,1271.97
6.42,2000.0,59486.0,39863,0,swarm,hr,1,exp6,0,1,1,16,512,30,2.028,13.96,1.315,1981.76
5.59,2000.0,58330.0,39243,0,swarm,mm,1,exp6,0,1,1,8,1024,30,3.57,9.84,0.577,1943.33
6.44,2000.0,58540.0,39213,0,swarm,hr,1,exp6,0,1,1,8,1024,30,2.015,12.392,1.309,1951.19
6.39,2000.0,59465.0,39810,0,swarm,hr,1,exp6,0,1,1,8,512,30,2.026,15.44,1.317,1981.65
5.8,2000.0,59739.0,39912,0,swarm,mm,1,exp6,0,1,1,16,512,30,3.556,9.64,0.604,1990.88
22220.0,2500.0,30720.0,19784,0,swarm,sn,1,exp6,0,1,1,8,1024,30,10567.805,25903.104,5215.505,1021.84
7.93,2500.0,73724.0,49276,0,swarm,mm,1,exp6,0,1,1,8,1024,30,4.328,32.896,0.993,2457.42
8.28,2500.0,74610.0,50040,0,swarm,mm,1,exp6,0,1,1,16,512,30,4.345,70.336,1.163,2486.6
8.01,2500.0,74904.0,50010,0,swarm,mm,1,exp6,0,1,1,8,512,30,4.238,28.672,1.03,2496.83
7.61,2500.0,73111.0,49074,0,swarm,mm,1,exp6,0,1,1,16,1024,30,4.367,14.256,0.874,2434.92
22460.0,2500.0,29775.0,19065,0,swarm,sn,1,exp6,0,1,1,16,1024,30,10841.544,26132.48,4590.669,991.79
6.51,2500.0,74590.0,49972,0,swarm,hr,1,exp6,0,1,1,8,512,30,2.031,16.072,1.331,2485.96
6.59,2500.0,73448.0,49280,0,swarm,hr,1,exp6,0,1,1,8,1024,30,2.055,14.624,1.353,2448.14
6.96,2500.0,74764.0,50057,0,swarm,hr,1,exp6,0,1,1,16,512,30,2.114,39.84,1.665,2491.66
24360.0,2500.0,34000.0,21961,0,swarm,sn,1,exp6,0,1,1,8,512,30,8332.995,27967.488,6665.798,1130.88
6.99,2500.0,73244.0,49059,0,swarm,hr,1,exp6,0,1,1,16,1024,30,2.136,58.624,2.024,2440.18
24310.0,2500.0,32126.0,21073,0,swarm,sn,1,exp6,0,1,1,16,512,30,8921.029,27377.664,6608.113,1069.58
10.35,3000.0,89524.0,59885,0,swarm,mm,1,exp6,0,1,1,8,512,30,5.217,45.088,1.397,2984.17
24080.0,3000.0,26604.0,17786,0,swarm,sn,1,exp6,0,1,1,16,1024,30,13159.161,26836.992,5534.87,884.91
23990.0,3000.0,27874.0,17996,0,swarm,sn,1,exp6,0,1,1,8,1024,30,12866.929,27099.136,5264.018,927.4
23410.0,3000.0,29532.0,19347,0,swarm,sn,1,exp6,0,1,1,8,512,30,11850.0,25509.888,6178.776,982.33
10.64,3000.0,89710.0,59786,0,swarm,mm,1,exp6,0,1,1,16,512,30,5.283,22.352,1.418,2988.87
10.61,3000.0,88010.0,58630,0,swarm,mm,1,exp6,0,1,1,16,1024,30,5.382,38.176,1.4,2933.22
6.84,3000.0,89542.0,59890,0,swarm,hr,1,exp6,0,1,1,8,512,30,2.121,12.144,1.402,2984.29
6.76,3000.0,88569.0,59101,0,swarm,hr,1,exp6,0,1,1,8,1024,30,2.091,17.76,1.386,2951.9
6.88,3000.0,89346.0,59808,0,swarm,hr,1,exp6,0,1,1,16,512,30,2.127,14.824,1.411,2975.06
6.77,3000.0,87910.0,58661,0,swarm,hr,1,exp6,0,1,1,16,1024,30,2.087,12.96,1.387,2928.66
12.43,3000.0,87851.0,59104,0,swarm,mm,1,exp6,0,1,1,8,1024,30,5.498,39.168,1.725,2928.61
24100.0,3000.0,28408.0,18887,0,swarm,sn,1,exp6,0,1,1,16,512,30,10747.961,26836.992,5923.991,945.85
25100.0,3500.0,25214.0,16466,0,swarm,sn,1,exp6,0,1,1,8,1024,30,14555.696,28246.016,4671.925,840.43
16.9,3500.0,104574.0,69979,0,swarm,mm,1,exp6,0,1,1,16,512,30,7.119,45.632,2.628,3485.63
25100.0,3500.0,24579.0,16254,0,swarm,sn,1,exp6,0,1,1,16,1024,30,14693.305,26918.912,5205.456,818.03
18.38,3500.0,104948.0,70045,0,swarm,mm,1,exp6,0,1,1,8,512,30,7.165,41.376,2.854,3498.28
20.59,3500.0,102566.0,69114,0,swarm,mm,1,exp6,0,1,1,8,1024,30,7.323,58.464,3.216,3418.74
25.33,3500.0,102816.0,68606,0,swarm,mm,1,exp6,0,1,1,16,1024,30,8.595,66.112,4.22,3427.11
6.88,3500.0,104173.0,70062,0,swarm,hr,1,exp6,0,1,1,8,512,30,2.158,12.496,1.423,3471.9
6.92,3500.0,103018.0,69136,0,swarm,hr,1,exp6,0,1,1,8,1024,30,2.134,14.304,1.417,3433.65
24.37,3500.0,104784.0,70012,0,swarm,hr,1,exp6,0,1,1,16,512,30,2.84,217.856,7.388,3491.78
6.93,3500.0,102460.0,68625,0,swarm,hr,1,exp6,0,1,1,16,1024,30,2.136,15.32,1.424,3414.13
24870.0,3500.0,26122.0,17305,0,swarm,sn,1,exp6,0,1,1,16,512,30,13126.926,26411.008,4945.829,869.78
25850.0,3500.0,26456.0,17656,0,swarm,sn,1,exp6,0,1,1,8,512,30,12765.674,28786.688,5298.516,879.93
