Latency,Requests,Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
24180.0,100.0,2055.0,1,k8s,hr,1,exp14,0,0,1,4,512,30,2428.259,26951.68,5753.46,68.21
20770.0,200.0,3938.0,1,k8s,hr,1,exp14,0,0,1,4,512,30,4567.37,26263.552,6002.517,130.71
10.88,500.0,14813.0,1,k8s,sn,1,exp14,0,0,1,4,512,30,4.604,3209.216,37.338,493.41
18910.0,500.0,9464.0,1,k8s,hr,1,exp14,0,0,1,4,512,30,6253.71,24559.616,4709.872,315.13
2190.0,500.0,14857.0,1,k8s,mm,1,exp14,0,0,1,4,512,30,86.13,5894.144,390.975,495.02
1590.0,1000.0,29452.0,1,k8s,mm,1,exp14,0,0,1,4,512,30,111.151,4812.8,324.379,981.31
16260.000000000002,1000.0,18709.0,1,k8s,hr,1,exp14,0,0,1,4,512,30,7077.571,20299.776,3683.906,623.5
15170.0,1500.0,27897.0,1,k8s,hr,1,exp14,0,0,1,4,512,30,7087.51,21430.272,3202.092,929.56
4.94,1500.0,44333.0,1,k8s,sn,1,exp14,0,0,1,4,512,30,2.331,8.752,0.816,1477.51
2920.0,2000.0,56208.0,1,k8s,mm,1,exp14,0,0,1,4,512,30,812.603,5263.36,697.775,1872.18
15030.0,2000.0,36586.0,1,k8s,hr,1,exp14,0,0,1,4,512,30,7103.466,18874.368,3076.619,1219.34
4.26,2000.0,59652.0,1,k8s,sn,1,exp14,0,0,1,4,512,30,2.067,7.188,0.666,1988.21
14220.0,2500.0,45937.0,1,k8s,hr,1,exp14,0,0,1,4,512,30,7218.379,18972.672,2907.034,1531.18
12200.0,3000.0,55308.0,1,k8s,mm,1,exp14,0,0,1,4,512,30,6157.422,15294.464,2430.376,1843.29
3.58,3000.0,89838.0,1,k8s,sn,1,exp14,0,0,1,4,512,30,1.847,8.768,0.527,2994.52
16860.0,4000.0,54961.0,1,k8s,mm,1,exp14,0,0,1,4,512,30,9249.153,19480.576,3300.887,1831.16
3.4,4000.0,118954.0,1,k8s,sn,1,exp14,0,0,1,4,512,30,1.781,8.8,0.49,3965.06
3.52,5000.0,148635.0,1,k8s,sn,1,exp14,0,0,1,4,512,30,1.754,30.368,0.512,4953.84
19320.0,5000.0,55527.0,1,k8s,mm,1,exp14,0,0,1,4,512,30,10969.116,22429.696,3923.982,1850.04
3.78,6000.0,178556.0,1,k8s,sn,1,exp14,0,0,1,4,512,30,1.762,38.176,0.551,5951.76
57.28,10000.0,297587.0,1,k8s,sn,1,exp14,0,0,1,4,512,30,3.338,541.696,12.626,9919.54
188.8,12000.0,357258.0,1,k8s,sn,1,exp14,0,0,1,4,512,30,17.734,685.056,37.758,11908.79
5530.0,14000.0,371424.0,1,k8s,sn,1,exp14,0,0,1,4,512,30,1830.94,8151.04,1287.109,12380.94
14370.0,20000.0,349511.0,1,k8s,sn,1,exp14,0,0,1,4,512,30,7825.386,17498.112,2882.604,11641.65
