Latency,Requests,Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
5.96,1500.0,44333.0,0,swarm,sn,1,exp8,0,1,1,1,512,30,2.544,9.344,1.571,1477.54
6.42,2000.0,59185.0,0,swarm,sn,1,exp8,0,1,1,1,512,30,2.955,10.84,1.499,1972.7
6.4,2500.0,74372.0,0,swarm,mm,1,exp8,0,1,1,1,512,30,3.243,35.584,0.932,2479.03
20920.0,2500.0,40150.0,0,swarm,sn,1,exp8,0,1,1,1,512,30,7209.392,25460.736,5342.395,1337.95
10.71,3000.0,89116.0,0,swarm,mm,1,exp8,0,1,1,1,512,30,3.615,29.824,1.41,2970.5
21150.0,3000.0,37847.0,0,swarm,sn,1,exp8,0,1,1,1,512,30,8541.581,23560.192,5592.401,1261.47
12.39,4000.0,118932.0,0,swarm,mm,1,exp8,0,1,1,1,512,30,4.313,43.072,1.774,3964.46
22860.0,4000.0,37825.0,0,swarm,sn,1,exp8,0,1,1,1,512,30,9383.162,24363.008,5874.487,1257.54
19.42,5000.0,149798.0,0,swarm,mm,1,exp8,0,1,1,1,512,30,6.427,67.648,3.265,4993.38
3870.0,6000.0,166813.0,0,swarm,mm,1,exp8,0,1,1,1,512,30,1291.743,5160.96,881.809,5560.51
98.37,12000.0,357381.0,0,swarm,hr,1,exp8,0,1,1,1,512,30,19.151,351.744,18.799,11912.98
722.94,14000.0,415611.0,0,swarm,hr,1,exp8,0,1,1,1,512,30,130.283,1428.48,141.472,13852.63
2770.0,16000.0,452004.0,0,swarm,hr,1,exp8,0,1,1,1,512,30,945.739,3899.392,628.472,15067.19
5690.0,18000.0,460284.0,0,swarm,hr,1,exp8,0,1,1,1,512,30,2978.257,6860.8,1100.67,15343.02
7350.0,20000.0,465620.0,0,swarm,hr,1,exp8,0,1,1,1,512,30,4338.213,8650.752,1391.049,15520.95
