Latency,Requests,Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
7.75,500.0,14815.0,0,swarm,hr,1,exp12,0,1,1,1,512,30,2.571,11.296,1.642,493.3
3.98,500.0,14922.0,0,swarm,mm,1,exp12,0,1,1,1,512,30,2.878,26.64,0.741,497.36
6.94,500.0,14815.0,0,swarm,sn,1,exp12,0,1,1,1,512,30,2.594,24.256,1.731,493.4
6.39,1000.0,29634.0,0,swarm,hr,1,exp12,0,1,1,1,512,30,2.083,13.208,1.316,987.74
21640.0,1000.0,10356.0,0,swarm,mm,1,exp12,0,1,1,1,512,30,12884.337,24788.992,4122.938,344.89
6.07,1500.0,43994.0,0,swarm,hr,1,exp12,0,1,1,1,512,30,1.982,9.904,1.247,1465.96
6.22,1500.0,43993.0,0,swarm,sn,1,exp12,0,1,1,1,512,30,2.849,13.312,1.57,1466.15
6.33,2000.0,58715.0,0,swarm,hr,1,exp12,0,1,1,1,512,30,2.001,12.56,1.302,1957.01
24970.0,2000.0,10920.0,0,swarm,mm,1,exp12,0,1,1,1,512,30,16016.705,26968.064,4742.046,363.52
6.74,2000.0,59189.0,0,swarm,sn,1,exp12,0,1,1,1,512,30,3.106,13.048,1.546,1972.69
14970.0,2500.0,40342.0,0,swarm,hr,1,exp12,0,1,1,1,512,30,7689.57,16957.44,3511.712,1341.06
19760.0,3000.0,33760.0,0,swarm,hr,1,exp12,0,1,1,1,512,30,12156.241,21659.648,3831.499,1122.31
26610.0,3000.0,10587.0,0,swarm,mm,1,exp12,0,1,1,1,512,30,17559.775,28229.632,5047.048,352.73
22400.0,3000.0,40314.0,0,swarm,sn,1,exp12,0,1,1,1,512,30,7498.706,23887.872,6174.576,1342.85
23040.0,4000.0,37523.0,0,swarm,sn,1,exp12,0,1,1,1,512,30,12359.072,26345.472,5769.809,1247.68
